state,x,y
Andhra Pradesh,-94.0,-149.0
Arunachal Pradesh,198.0,72.0
Assam,174.0,73.0
Bihar,43.0,60.0
Chhattisgarh,-34.0,-23.0
Goa,-179.0,-140.0
Gujarat,-225.0,8.0
Haryana,-136.0,129.0
Himachal Pradesh,-118.0,192.0
Jharkhand,27.0,23.0
Karnataka,-148.0,-157.0
Kerala,-134.0,-242.0
Madhya Pradesh,-106.0,7.0
Maharashtra,-155.0,-61.0
Manipur,186.0,42.0
Meghalaya,145.0,58.0
Mizoram,169.0,16.0
Nagaland,174.0,73.0
Odisha,18.0,-38.0
Punjab,-155.0,167.0
Rajasthan,-183.0,84.0
Sikkim,86.0,98.0
Tamil Nadu,-105.0,-226.0
Telangana,-87.0,-93.0
Tripura,142.0,19.0
Uttarakhand,-85.0,155.0
Uttar Pradesh,-52.0,84.0
West Bengal,75.0,10.0
Andaman and Nicobar Islands,156.0,-244.0
Chandigarh,-129.0,168.0
Dadra and Nagar Haveli,-196.0,-51.0
Daman and Diu,-201.0,-39.0
Jammu and Kashmir,-164.0,238.0
Ladakh,-108.0,257.0
Lakshadweep,-213.0,-234.0
Puducherry,-75.0,-208.0
Delhi,-123.0,121.0
